,len,year,month,gain,annualized_returns
0,1,1872,1,1.4352132402332574,[1.43521324]
1,1,1872,2,1.6507450119003009,[1.65074501]
2,1,1872,3,2.01442061624455,[2.01442062]
3,1,1872,4,0.7645911198140398,[0.76459112]
4,1,1872,5,-0.7299009959824798,[-0.729901]
5,1,1872,6,-0.3072644131595581,[-0.30726441]
6,1,1872,7,-1.4829051457482811,[-1.48290515]
7,1,1872,8,-1.437555206655572,[-1.43755521]
8,1,1872,9,-1.2251369060019779,[-1.22513691]
9,1,1872,10,-8.670448369929407,[-8.67044837]
10,1,1872,11,-16.076205823662313,[-16.07620582]
11,1,1872,12,-17.81961081487259,[-17.81961081]
12,1,1873,1,-8.413687953058513,[-8.41368795]
13,1,1873,2,-2.3142880956154133,[-2.3142881]
14,1,1873,3,1.3763781187583257,[1.37637812]
15,1,1873,4,0.45605647723407916,[0.45605648]
16,1,1873,5,-1.702224208200509,[-1.70222421]
17,1,1873,6,-3.557979389886723,[-3.55797939]
18,1,1873,7,-3.0521291459697175,[-3.05212915]
19,1,1873,8,-2.1819818902802823,[-2.18198189]
20,1,1873,9,-1.1056108614141302,[-1.10561086]
21,1,1873,10,1.294563097236212,[1.2945631]
22,1,1873,11,1.1620244215976294,[1.16202442]
23,1,1873,12,1.3731031468146027,[1.37310315]
24,1,1874,1,-0.3784235321322771,[-0.37842353]
25,1,1874,2,-0.6046678760236901,[-0.60466788]
26,1,1874,3,-0.609480721166411,[-0.60948072]
27,1,1874,4,1.1819086070300688,[1.18190861]
28,1,1874,5,2.7544247240910424,[2.75442472]
29,1,1874,6,-1.3102393091744102,[-1.31023931]
30,1,1874,7,-3.27905480087205,[-3.2790548]
31,1,1874,8,-2.908412622679968,[-2.90841262]
32,1,1874,9,-2.334693836912416,[-2.33469384]
33,1,1874,10,-3.109704705132399,[-3.10970471]
34,1,1874,11,-4.354680419506652,[-4.35468042]
35,1,1874,12,-2.3676706052293217,[-2.36767061]
36,1,1875,1,-2.0029733039893416,[-2.0029733]
37,1,1875,2,0.3337396891518907,[0.33373969]
38,1,1875,3,1.8323392834239005,[1.83233928]
39,1,1875,4,1.625401677873617,[1.62540168]
40,1,1875,5,-2.065499084697653,[-2.06549908]
41,1,1875,6,-5.140913352952525,[-5.14091335]
42,1,1875,7,-5.284959083270657,[-5.28495908]
43,1,1875,8,-5.993781255655017,[-5.99378126]
44,1,1875,9,-9.363931877850973,[-9.36393188]
45,1,1875,10,-14.047320573475774,[-14.04732057]
46,1,1875,11,-13.223496986640903,[-13.22349699]
47,1,1875,12,-13.680991911361817,[-13.68099191]
48,1,1876,1,-12.70035465228988,[-12.70035465]
49,1,1876,2,-11.938056490096649,[-11.93805649]
50,1,1876,3,-15.54763666808202,[-15.54763667]
51,1,1876,4,-17.78132389435373,[-17.78132389]
52,1,1876,5,-21.45038267885555,[-21.45038268]
53,1,1876,6,-18.762210635844788,[-18.76221064]
54,1,1876,7,-22.269398370103765,[-22.26939837]
55,1,1876,8,-15.87592649476166,[-15.87592649]
56,1,1876,9,-7.253541076907233,[-7.25354108]
57,1,1876,10,0.5063371926354643,[0.50633719]
58,1,1876,11,3.715986804269944,[3.7159868]
59,1,1876,12,2.954370730561884,[2.95437073]
60,1,1877,1,3.4231825903976665,[3.42318259]
