,len,year,month,gain,annualized_returns
0,1,1872,1,4.646514371053456,[4.64651437]
1,1,1872,2,4.885755262464619,[4.88575526]
2,1,1872,3,5.279999431140836,[5.27999943]
3,1,1872,4,4.015031958082549,[4.01503196]
4,1,1872,5,2.507788544873857,[2.50778854]
5,1,1872,6,2.9805427272708185,[2.98054273]
6,1,1872,7,1.809500203826997,[1.8095002]
7,1,1872,8,1.8939798903494953,[1.89397989]
8,1,1872,9,2.1487895336245177,[2.14878953]
9,1,1872,10,-5.478950823139995,[-5.47895082]
10,1,1872,11,-13.052926396424958,[-13.0529264]
11,1,1872,12,-14.774491904630372,[-14.7744919]
12,1,1873,1,-4.993903853879766,[-4.99390385]
13,1,1873,2,1.3610331761932715,[1.36103318]
14,1,1873,3,5.217673142157131,[5.21767314]
15,1,1873,4,4.305869770488235,[4.30586977]
16,1,1873,5,2.113932951639952,[2.11393295]
17,1,1873,6,0.2361320316522031,[0.23613203]
18,1,1873,7,0.8042271747958685,[0.80422717]
19,1,1873,8,1.7446456489423001,[1.74464565]
20,1,1873,9,2.89636023861084,[2.89636024]
21,1,1873,10,5.416418231060849,[5.41641823]
22,1,1873,11,5.283883015624213,[5.28388302]
23,1,1873,12,5.474471749908738,[5.47447175]
24,1,1874,1,3.6188729809099263,[3.61887298]
25,1,1874,2,3.3706805937815165,[3.37068059]
26,1,1874,3,3.365049854302926,[3.36504985]
27,1,1874,4,5.223752585663166,[5.22375259]
28,1,1874,5,6.842849630663417,[6.84284963]
29,1,1874,6,2.61737235195858,[2.61737235]
30,1,1874,7,0.5605343127067508,[0.56053431]
31,1,1874,8,0.9247643055261046,[0.92476431]
32,1,1874,9,1.4958852937924094,[1.49588529]
33,1,1874,10,0.6715323692762176,[0.67153237]
34,1,1874,11,-0.631735647765852,[-0.63173565]
35,1,1874,12,1.4065190706451292,[1.40651907]
36,1,1875,1,1.766183760080442,[1.76618376]
37,1,1875,2,4.164999042052053,[4.16499904]
38,1,1875,3,5.695829888358439,[5.69582989]
39,1,1875,4,5.464543105871766,[5.46454311]
40,1,1875,5,1.6465369266360996,[1.64653693]
41,1,1875,6,-1.5167094995145014,[-1.5167095]
42,1,1875,7,-1.6526644971964433,[-1.6526645]
