,len,year,month,gain,annualized_returns
0,1,1872,1,6.962025316455667,[6.96202532]
1,1,1872,2,5.144032921810693,[5.14403292]
2,1,1872,3,5.532786885245877,[5.53278689]
3,1,1872,4,1.388888888888884,[1.38888889]
4,1,1872,5,-2.7027027027027306,[-2.7027027]
5,1,1872,6,-2.509652509652538,[-2.50965251]
6,1,1872,7,-2.923976608187173,[-2.92397661]
7,1,1872,8,-2.5490196078431504,[-2.54901961]
8,1,1872,9,-1.3888888888889173,[-1.38888889]
9,1,1872,10,-7.272727272727309,[-7.27272727]
10,1,1872,11,-15.694164989939619,[-15.69416499]
11,1,1872,12,-18.38383838383839,[-18.38383838]
12,1,1873,1,-12.820512820512796,[-12.82051282]
13,1,1873,2,-8.80626223091976,[-8.80626223]
14,1,1873,3,-6.796116504854377,[-6.7961165]
15,1,1873,4,-7.436399217221112,[-7.43639922]
16,1,1873,5,-8.730158730158733,[-8.73015873]
17,1,1873,6,-11.287128712871276,[-11.28712871]
18,1,1873,7,-10.441767068273089,[-10.44176707]
19,1,1873,8,-10.261569416498983,[-10.26156942]
20,1,1873,9,-10.060362173038229,[-10.06036217]
21,1,1873,10,-1.0893246187363759,[-1.08932462]
22,1,1873,11,8.11455847255369,[8.11455847]
23,1,1873,12,13.11881188118813,[13.11881188]
24,1,1874,1,2.714932126696823,[2.71493213]
25,1,1874,2,-2.5751072961373356,[-2.5751073]
26,1,1874,3,-5.624999999999969,[-5.625]
27,1,1874,4,-2.959830866807611,[-2.95983087]
28,1,1874,5,1.0869565217391575,[1.08695652]
29,1,1874,6,-0.22321428571429047,[-0.22321429]
30,1,1874,7,-1.7937219730941534,[-1.79372197]
31,1,1874,8,-1.5695067264573925,[-1.56950673]
32,1,1874,9,-1.342281879194629,[-1.34228188]
33,1,1874,10,-3.7444933920704693,[-3.74449339]
34,1,1874,11,-5.07726269315677,[-5.07726269]
35,1,1874,12,-4.37636761487965,[-4.37636761]
36,1,1875,1,-3.7444933920704804,[-3.74449339]
37,1,1875,2,-1.7621145374449254,[-1.76211454]
38,1,1875,3,-0.22075055187642523,[-0.22075055]
39,1,1875,4,-1.7429193899782147,[-1.74291939]
40,1,1875,5,-6.66666666666671,[-6.66666667]
41,1,1875,6,-6.487695749440759,[-6.48769575]
42,1,1875,7,-5.2511415525114185,[-5.25114155]
43,1,1875,8,-6.605922551252874,[-6.60592255]
44,1,1875,9,-10.8843537414966,[-10.88435374]
45,1,1875,10,-15.560640732265462,[-15.56064073]
46,1,1875,11,-14.651162790697692,[-14.65116279]
47,1,1875,12,-17.620137299771176,[-17.6201373]
48,1,1876,1,-18.077803203661336,[-18.0778032]
49,1,1876,2,-20.403587443946204,[-20.40358744]
50,1,1876,3,-26.106194690265493,[-26.10619469]
51,1,1876,4,-29.711751662971196,[-29.71175166]
52,1,1876,5,-32.25806451612904,[-32.25806452]
53,1,1876,6,-29.66507177033494,[-29.66507177]
54,1,1876,7,-34.21686746987954,[-34.21686747]
55,1,1876,8,-30.487804878048774,[-30.48780488]
56,1,1876,9,-22.391857506361323,[-22.39185751]
57,1,1876,10,-12.195121951219512,[-12.19512195]
58,1,1876,11,-9.809264305177123,[-9.80926431]
59,1,1876,12,-9.444444444444466,[-9.44444444]
60,1,1877,1,-9.217877094972094,[-9.21787709]
61,1,1877,2,-8.450704225352112,[-8.45070423]
62,1,1877,3,-4.790419161676651,[-4.79041916]
63,1,1877,4,2.20820189274451,[2.20820189]
64,1,1877,5,13.265306122449005,[13.26530612]
65,1,1877,6,13.605442176870785,[13.60544218]
66,1,1877,7,24.908424908424887,[24.90842491]
67,1,1877,8,22.10526315789476,[22.10526316]
68,1,1877,9,13.114754098360649,[13.1147541]
69,1,1877,10,8.641975308641925,[8.64197531]
70,1,1877,11,5.1359516616314105,[5.13595166]
71,1,1877,12,6.441717791411028,[6.44171779]
72,1,1878,1,6.153846153846154,[6.15384615]
73,1,1878,2,10.153846153846136,[10.15384615]
74,1,1878,3,16.66666666666665,[16.66666667]
75,1,1878,4,12.654320987654222,[12.65432099]
76,1,1878,5,13.213213213213226,[13.21321321]
77,1,1878,6,17.96407185628741,[17.96407186]
78,1,1878,7,16.129032258064502,[16.12903226]
79,1,1878,8,16.091954022988485,[16.09195402]
80,1,1878,9,17.97101449275358,[17.97101449]
81,1,1878,10,19.886363636363626,[19.88636364]
82,1,1878,11,34.482758620689594,[34.48275862]
83,1,1878,12,42.07492795389038,[42.07492795]
